Customer Name,review rate,ISBN
0,Ravi gurjar,5.0,8185240930
1,Ansh raj,4.0,8185240930
2,AYUSH KUMAR,4.0,8185240930
3,Vishwajeet Verma,5.0,8185240930
4,Karan Meshram,4.0,8185240930
5,Dileep Kumar C,4.0,8185240930
6,Rahul Agrawal,5.0,8185240930
7,Arpit Tiwari,3.0,8185240930
8,Vijay patel,5.0,8185240930
9,Subhajit maiti,5.0,8185240930
10,abhishek_verma,5.0,9780262046305
11,Bhagvat Sase,5.0,9780262046305
12,Kishor Kunal,4.0,9780262046305
13,HbangerzZ,4.0,9780262046305
14,Vijay,5.0,9780262046305
15,Amazon Customer,5.0,9780262046305
16,Akko,1.0,9780262046305
17,Max,5.0,9780262046305
18,Armin,5.0,9780262046305
19,Vladyslav Nekriach,4.0,9780262046305
20,Girish Chandra Tiwari,3.0,9788189401269
21,Pankaj Giri,5.0,9788189401269
22,challa revanth kumar,5.0,9788189401269
23,Gary,3.0,9788189401269
24,KAMAL singh,5.0,9788189401269
25,Drishanku,5.0,9788189401269
26,Nisha meena,5.0,9788189401269
27,Y D N,5.0,9788189401269
28,Romesh bhandari,5.0,9788189401269
29,P. S.,5.0,9788189401269
30,Rajesh anand,4.0,9788174091208
31,Vivek,5.0,9788174091208
32,SKG,5.0,9788174091208
33,Pravin,5.0,9788174091208
34,Kumaran Selvam,5.0,9788174091208
35,ambika,4.0,9788174091208
36,Sandeepta Kumar Patra,4.0,9788174091208
37,K.Sravani Padma Priya,4.0,9788174091208
38,Vinayak m,5.0,9788174091208
39,Kindle Customer,5.0,9788174091208
40,CBS,5.0,8131809420
41,One of the best brand ever I tried....such a cool and casual look with this product... personally I recommend it to others....#tryitonce,5.0,8131809420
42,Raju Singh,5.0,8131809420
43,Dr. Shashank,3.0,8131809420
44,Rishabh,4.0,8131809420
45,Pravesh,5.0,8131809420
46,raghavendra,4.0,8131809420
47,Bikash Dibra,5.0,8131809420
48,Khaja Salauddin,5.0,8131809420
49,Akash,2.0,8131809420
50,Touhidur rahaman,5.0,9788131759110
51,saikat biswas,4.0,9788131759110
52,Lalit Narayan Pandey,4.0,9788131759110
53,nagendra babu balkonda,1.0,9788131759110
54,Hemachandra,5.0,9788131759110
55,Venkatakrishna,5.0,9788131759110
56,ABHINAVSARDAR05,4.0,9788131759110
57,AKSHAY BHOLA NANDWANSHI,5.0,9788131759110
58,HARSH JOSHI,5.0,9788131759110
59,Puneet Singh,5.0,9788131759110
60,Keval Shah,5.0,9788174090997
61,Arjun,5.0,9339221656
62,Ankush Saha,5.0,9339221656
63,Amazon_Customer,4.0,9339221656
64,Suresh Verma,5.0,9339221656
65,Placeholder,1.0,9339221656
66,Arthur,5.0,9339221656
67,Rahul chaurasiya,4.0,9339221656
68,Prashant,5.0,9339221656
69,Jayant Namdev Pinjari,5.0,9339221656
70,BASIL,3.0,9339221656
71,Justin D.,4.0,9788193328491
72,Very good 👍👍👍,5.0,9788193328491
73,KAUSHIK MUKHOPADHYAY,5.0,9788193328491
74,Kanna S.,5.0,9788193328491
75,Rajesh Singh,5.0,9788193328491
76,Gopi S.,5.0,9788193328491
77,SHOUMYA ROY CHOUDHURY,3.0,9788193328491
78,Jeevan ,5.0,9788193328491
79,Nilu ji,4.0,9788193328491
80,Deb,4.0,9788193328491
81,"Received the book in well packed condition, but found 3 pages are in sheared, as per my urgency accepted the book.",5.0,9789352606429
82,Anup,5.0,9789352606429
83,Nikhil palan,3.0,9789352606429
84,Hakim Sarmad,5.0,9789352606429
85,Arnab Dey,4.0,9789352606429
86,Esakkiyappan,5.0,9789352606429
87,Rohit Pandey,4.0,9789352606429
88,Gopal kumar gorai,5.0,9789352606429
89,ANONYMOUS ,5.0,9789352606429
90,Aditya Rana,5.0,9789352606429
91,Amruta Rakshe,5.0,70260680
92,ronnie singh,5.0,70260680
93,Subhajit maiti,4.0,70260680
94,Amazon Customer,5.0,70260680
95,Sankalp Panwar,4.0,70260680
96,Abhishek sahu,5.0,70260680
97,Anuj kumar,5.0,70260680
98,DEEPAK SINGH,5.0,70260680
99,Rahul,5.0,70260680
100,AJAY KUMAR,5.0,70260680
101,Sanjog harinkhede,4.0,9789386070968
102,Pratik Walimbe,5.0,9789386070968
103,Prashant Rathod,4.0,9789386070968
104,AVINASH,4.0,9789386070968
105,Anubhav,3.0,9789386070968
106,Abhijeet Anand,5.0,9789386070968
107,Visakh,5.0,9789386070968
108,Subho,4.0,9789386070968
109,Kindle Customer ( Naveen Kashyap ),5.0,9789386070968
110,customer,5.0,9789386070968
111,Arunkumar,4.0,9788185240565
112,Gagan,4.0,9788185240565
113,MEERAN,5.0,9788185240565
114,Nikhil,5.0,9788185240565
115,AVINASH,4.0,9788185240565
116,Ankit Sharma,4.0,9788185240565
117,Jahidul,4.0,9788185240565
118,AV,5.0,9788185240565
119,Pratham,5.0,9788185240565
120,gaurav,5.0,9788185240565
121,KAUSHIK MUKHOPADHYAY,5.0,8123910304
122,Dahanok Ilysk Nrisaj,5.0,8123910304
123,PrateetDosi,4.0,8123910304
